AttractionName,Latitude,Longitude
Blue Lake Museum,40.881,-123.99
Arcata Wastewater Treatment Plant and Wildlife Sanctuary,40.8583,-124.091
Humboldt Bay Maritime Museum,40.8201,-124.182
Carson Mansion,40.8027,-124.153
Sequoia Park Zoo,40.777,-124.145
Weaverville Joss House State Historic Park,40.7311,-122.941
Turtle Bay Exploration Park,40.5911,-122.378
Varden Hotel,40.584,-123.415
Kohm Yah-mah-nee Visitor Center,40.437791,-121.533834
Western Pacific Railroad Museum,39.8038,-120.476
Bidwell Mansion State Historic Park,39.732353,-121.843481
Nevada County Narrow Gauge Railroad & Transportation Museum,39.249462,-121.021163
Tahoe Maritime Museum,39.1598,-120.1461
Sacramento Valley Museum,39.1523,-122.162
Community Memorial Museum of Sutter County,39.1465,-121.636
Fountain-Tallman Soda Works,38.729167,-120.798333
Folsom City Zoo Sanctuary,38.682,-121.165
Woodland Opera House,38.676111,-121.773055
Aerospace Museum of California,38.6751,-121.391
Reiff's Antique Gas Station Automotive Museum,38.6746,-121.782
Whitney Museum of American Art,38.6698,-120.5582
Hand Fan Museum,38.6106,-122.871
Sacramento Southern Railroad,38.6007,-121.5491
Raging Waters Sacramento,38.5908,-121.436
Sacramento Children's Museum,38.58877,-121.28376
California State Capitol Museum,38.5764,-121.493
California State Indian Museum,38.5728,-121.471
Bale Grist Mill State Historic Park,38.54074,-122.50887
Sacramento Zoo,38.5396,-121.504
Pacific Coast Air Museum,38.5064,-122.802
Charles M. Schulz Museum and Research Center,38.46,-122.735
Mariano Vallejo Adobe,38.3051,-122.4664
Napa Valley Wine Train,38.298211,-122.276244
Sonoma Valley Museum of Art,38.291,-122.458
Sonoma TrainTown Railroad,38.2775,-122.46
Travis Air Force Base Aviation Museum,38.2698,-121.932
Petaluma Wildlife & Natural Science Museum,38.2278,-122.646
Western Railway Museum,38.203333,-121.874444
Cobra,38.1392,-122.233
Superman: Ultimate Flight (Six Flags Discovery Kingdom),38.1386,-122.231
The Flash: Vertical Velocity,38.1382,-122.232
Road Runner Express,38.1371,-122.235
Micke Grove Zoo,38.0792,-121.272
Angels Camp Museum,38.0763,-120.545
Kule Loklo,38.0457,-122.804
Dixie Schoolhouse,38.029347,-122.546192
China Camp State Park,37.9992,-122.488
Railtown 1897 State Historic Park,37.951,-120.418
Mono Basin National Scenic Area,37.9503,-119.059
Lindsay Wildlife Experience,37.9235,-122.076
Playland-Not-At-The-Beach,37.9168,-122.313
Golden State Model Railroad Museum,37.9158,-122.383
University of California Museum of Paleontology,37.8712,-122.262
Phoebe A. Hearst Museum of Anthropology,37.8697,-122.255
Spaulding Wooden Boat Center,37.8682,-122.497
U.S. Army Corps of Engineers Bay Model,37.8633,-122.495
Magnes Collection of Jewish Art and Life,37.8592,-122.248
The Marine Mammal Center,37.8351,-122.532
USS Pampanito (SS-383),37.809722,-122.419444
USS Robalo (SS-273),37.809722,-122.419444
World's Most Crooked Street,37.80204,-122.41863
Wells Fargo History Museum,37.794444,-122.401111
USS Potomac (AG-25),37.794167,-122.276111
Wells Fargo History Museum,37.794167,-122.400278
Willis Polk Residence,37.7883,-122.428
USS Hornet Museum,37.774722,-122.300278
Pacific Pinball Museum,37.7737,-122.277
San Francisco Fire Department Museum,37.768333,-122.399583
Yosemite Valley Chapel,37.74075,-119.54972
Oakland Aviation Museum,37.7329,-122.212
Kennedy Park,37.66833333,-122.1211111
Golden Gate Railroad Museum,37.5978,-121.918
Hiller Aviation Museum,37.5124,-122.2531
Filoli,37.470389,-122.310694
California State Mining and Mineral Museum,37.4642,-119.948
Yosemite Mountain Sugar Pine Railroad,37.4533,-119.64451
Cantor Arts Center at Stanford University,37.433,-122.171
Cantor Arts Center at Stanford University,37.432982,-122.170844
NASA Ames Exploration Center,37.4086,-122.064
Patriot,37.3967,-121.973
San Jose Museum of Art,37.333675,-121.890039
San Jose Museum of Art,37.333611,-121.890278
San Jose Museum of Art,37.3335,-121.89
The Tech Interactive,37.3316,-121.89
San Jose Museum of Quilts & Textiles,37.3281,-121.884
Movimiento de Arte y Cultura Latino Americana,37.328,-121.884
Children's Discovery Museum of San Jose,37.3267,-121.892
Viet Museum,37.3203,-121.86
Portuguese Historical Museum,37.31952778,-121.85825
California Trolley and Railroad Corporation,37.3195,-121.857
San Jose Steam Railroad Museum,37.3007,-121.857
Montalvo Arts Center,37.240556,-122.030278
Forbes Mill,37.222231,-121.980519
Santa Cruz Surfing Museum,36.9515,-122.027
Forestiere Underground Gardens,36.807222,-119.880833
Fresno Chaffee Zoo,36.7522,-119.822
Mission Nuestra Señora de la Soledad,36.4046,-121.356
Visalia Rescue Army and School of Music,36.332697,-119.294813
Visalia Fox Theatre,36.3305,-119.295
Kings County Museum,36.2081,-119.327
Yavapai Observation Station,36.0836,-112.1315
Estrella Warbird Museum,35.664,-120.62
Naval Museum of Armament & Technology,35.6544,-117.643
Wupatki National Monument,35.553,-111.376
Charles Paddock Zoo,35.46666667,-120.6702778
California Living Museum,35.432,-118.886
Kern County Museum,35.393,-119.02
Buena Vista Museum of Natural History,35.3776,-119.018
Bakersfield Museum of Art,35.377,-119.009
Mission San Luis Obispo de Tolosa,35.2807,-120.665
San Luis Obispo Railroad Museum,35.273175,-120.655331
Dana Adobe,35.027778,-120.527778
Calico and Odessa Railroad,34.94916667,-116.8638889
Lake Dolores Waterpark,34.9482,-116.687
OstrichLand USA,34.607168,-120.176573
Dry Town Water Park,34.55742,-118.05985
Yavapai County Courthouse,34.541166,-112.47225
California Route 66 Museum,34.53722222,-117.2941667
Shambala Preserve,34.4403,-118.252
Scream!,34.428611,-118.598333
Colossus,34.427778,-118.5975
Goliath,34.426944,-118.596944
Vipère (roller coaster),34.4253,-118.6
Superman: Escape from Krypton,34.425,-118.598
Magic Flyer,34.4249,-118.596
Canyon Blaster,34.4249,-118.596
The Riddler's Revenge,34.424444,-118.596944
Goldrusher,34.424,-118.599
The New Revolution,34.422778,-118.596389
Ninja,34.4222,-118.598
Tatsu,34.421944,-118.5975
Apocalypse,34.4211,-118.6
X²,34.421,-118.593
Psyclone,34.421,-118.6
Viper,34.420833,-118.595278
William S. Hart Ranch and Museum,34.385833,-118.298611
Union Oil Company Building,34.354167,-119.058889
Skatelab,34.27222778,-118.7125806
Bolton Hall,34.2526,-118.288
Olivas Adobe,34.244444,-119.241111
Zelzah Shrine Temple,34.23194444,-118.5002778
Big Bear Alpine Zoo,34.2296,-116.859
Yarnell Historical Society,34.222,-112.743
McGroarty Arts Center,34.208222,-118.326583
Carnegie Art Museum,34.198333,-119.18
Jungleland USA,34.1741,-118.848
The Bunny Museum,34.1704,-118.111
Travel Town Museum,34.1544,-118.308
Los Angeles Zoo,34.1481,-118.284
Pasadena Museum of California Art,34.1469,-118.14
Pacific Asia Museum,34.1468,-118.141
Los Angeles County Fire Museum,34.123,-118.169
Inland Empire Museum of Art,34.1117,-117.6806
Pacific Railroad Society,34.109194,-118.167888
Hollywood Wax Museum,34.102,-118.338
Southwest Museum of the American Indian,34.1004,-118.206
Hollywood Erotic Museum,34.1,-118.333
Psychiatry: An Industry of Death,34.0976,-118.334
Pickford Center for Motion Picture Study,34.0948,-118.327
Heritage Square Museum,34.08813889,-118.2083028
Franklin D. Murphy Sculpture Garden,34.0751,-118.44
Franklin D. Murphy Sculpture Garden,34.07444444,-118.4402778
